series_id,metro,indicator
ATXRNSA,atlanta,case_shiller_home_price_index
CUURA319SA0,atlanta,consumer_price_index
ATLA013URN,atlanta,unemployment_rate
BOXRNSA,boston,case_shiller_home_price_index
CUURA103SA0,boston,consumer_price_index
BOST625URN,boston,unemployment_rate
CHXRNSA,chicago,case_shiller_home_price_index
CUURA207SA0,chicago,consumer_price_index
CHIC917URN,chicago,unemployment_rate
DAXRNSA,dallas,case_shiller_home_price_index
CUURA316SA0,dallas,consumer_price_index
DALL148URN,dallas,unemployment_rate
DEXRNSA,detroit,case_shiller_home_price_index
CUURA208SA0,detroit,consumer_price_index
DETR826URN,detroit,unemployment_rate
LXXRNSA,los_angeles,case_shiller_home_price_index
CUURA421SA0,los_angeles,consumer_price_index
LOSA106UR,los_angeles,unemployment_rate
MIXRNSA,miami,case_shiller_home_price_index
CUURA320SA0,miami,consumer_price_index
MIAM112URN,miami,unemployment_rate
MNXRNSA,minneapolis,case_shiller_home_price_index
CUUSA211SA0,minneapolis,consumer_price_index
MINN427URN,minneapolis,unemployment_rate
NYXRNSA,new_york,case_shiller_home_price_index
CUURA101SA0,new_york,consumer_price_index
NEWY636URN,new_york,unemployment_rate
PHXRNSA,phoenix,case_shiller_home_price_index
CUUSA429SA0,phoenix,consumer_price_index
PHOE004UR,phoenix,unemployment_rate
SFXRNSA,san_francisco,case_shiller_home_price_index
CUURA422SA0,san_francisco,consumer_price_index
SANF806URN,san_francisco,unemployment_rate
SEXRNSA,seattle,case_shiller_home_price_index
CUURA423SA0,seattle,consumer_price_index
SEAT653URN,seattle,unemployment_rate
TPXRNSA,tampa,case_shiller_home_price_index
CUUSA321SA0,tampa,consumer_price_index
TAMP312URN,tampa,unemployment_rate
WDXRNSA,washington_dc,case_shiller_home_price_index
CUURA311SA0,washington_dc,consumer_price_index
WASH911URN,washington_dc,unemployment_rate
DNXRNSA,denver,case_shiller_home_price_index
CUUSA433SA0,denver,consumer_price_index
DENV708URN,denver,unemployment_rate
SDXRSA,san_diego,case_shiller_home_price_index
CUUSA424SA0,san_diego,consumer_price_index
SAND706URN,san_diego,unemployment_rate