metro_code,metro_name,metro_name_specific,state
12060,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",GA
14460,Boston,"Boston-Cambridge-Newton, MA-NH",MA-NH
16980,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",IL-IN-WI
19100,Dallas,"Dallas-Fort Worth-Arlington, TX",TX
19740,Denver,"Denver-Aurora-Lakewood, CO",CO
19820,Detroit,"Detroit-Warren-Dearborn, MI",MI
31080,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",CA
31100,"Los Angeles (Old)","Los Angeles (old code)",CA
33100,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
33460,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI",MN-WI
35620,New York,"New York-Newark-Jersey City, NY-NJ-PA",NY-NJ-PA
38060,Phoenix,"Phoenix-Mesa-Chandler, AZ",AZ
41740,San Diego,"San Diego-Chula Vista-Carlsbad, CA",CA
41860,San Francisco,"San Francisco-Oakland-Berkeley, CA",CA
42660,Seattle,"Seattle-Tacoma-Bellevue, WA",WA
45300,Tampa,"Tampa-St. Petersburg-Clearwater, FL",FL
47900,Washington DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC-VA-MD-WV